filename,label
0_27_rotate_7.jpeg,0
0_32_rotate_9.jpeg,0
0_23_rotate_12.jpeg,0
0_55_rotate_5.jpeg,0
0_28_rotate_3.jpeg,0
0_1_rotate_5.jpeg,0
0_42_rotate_5.jpeg,0
0_16_rotate_2.jpeg,0
0_17_rotate_11.jpeg,0
0_67_rotate_10.jpeg,0
0_30_rotate_7.jpeg,0
0_19_rotate_6.jpeg,0
0_25_rotate_9.jpeg,0
0_22_rotate_8.jpeg,0
0_37_rotate_6.jpeg,0
0_63_rotate_1.jpeg,0
0_45_rotate_4.jpeg,0
0_22_rotate_13.jpeg,0
0_38_rotate_2.jpeg,0
0_11_rotate_3.jpeg,0
0_52_rotate_4.jpeg,0
0_6_rotate_4.jpeg,0
0_35_rotate_8.jpeg,0
0_20_rotate_6.jpeg,0
0_16_rotate_10.jpeg,0
0_21_rotate_9.jpeg,0
0_34_rotate_7.jpeg,0
0_49_rotate_1.jpeg,0
0_12_rotate_16.jpeg,0
0_46_rotate_5.jpeg,0
0_12_rotate_2.jpeg,0
0_3_rotate_10.jpeg,0
0_5_rotate_5.jpeg,0
0_51_rotate_5.jpeg,0
0_36_rotate_9.jpeg,0
0_23_rotate_7.jpeg,0
0_13_rotate_17.jpeg,0
0_24_rotate_6.jpeg,0
0_18_rotate_9.jpeg,0
0_31_rotate_8.jpeg,0
0_20_rotate_18.jpeg,0
0_70_rotate_1.jpeg,0
0_2_rotate_11.jpeg,0
0_2_rotate_4.jpeg,0
0_56_rotate_4.jpeg,0
0_41_rotate_4.jpeg,0
0_68_rotate_5.jpeg,0
0_15_rotate_3.jpeg,0
0_33_rotate_6.jpeg,0
0_26_rotate_8.jpeg,0
0_67_rotate_1.jpeg,0
0_55_rotate_9.jpeg,0
0_69_rotate_6.jpeg,0
0_40_rotate_7.jpeg,0
0_60_rotate_10.jpeg,0
0_10_rotate_11.jpeg,0
0_1_rotate_9.jpeg,0
0_66_rotate_2.jpeg,0
0_32_rotate_5.jpeg,0
0_1_rotate_17.jpeg,0
0_58_rotate_3.jpeg,0
0_24_rotate_12.jpeg,0
0_25_rotate_5.jpeg,0
0_3_rotate_7.jpeg,0
0_42_rotate_9.jpeg,0
0_57_rotate_7.jpeg,0
0_4_rotate_6.jpeg,0
0_11_rotate_10.jpeg,0
0_50_rotate_6.jpeg,0
0_45_rotate_8.jpeg,0
0_22_rotate_4.jpeg,0
0_61_rotate_3.jpeg,0
